C1.0,C1.5,C2.0,C2.5,C3.0,C3.5,C4.0,C4.5,C5.0,C5.5,C6.0,N1.0,N1.5,N2.0,N2.5,N3.0,N3.5,N4.0,N4.5,N5.0,N5.5,N6.0,OW1.0,OW1.5,OW2.0,OW2.5,OW3.0,OW3.5,OW4.0,OW4.5,OW5.0,OW5.5,OW6.0,OCoor1.0,OCoor1.5,OCoor2.0,OCoor2.5,OCoor3.0,OCoor3.5,OCoor4.0,OCoor4.5,OCoor5.0,OCoor5.5,OCoor6.0,O1.0,O1.5,O2.0,O2.5,O3.0,O3.5,O4.0,O4.5,O5.0,O5.5,O6.0,H1.0,H1.5,H2.0,H2.5,H3.0,H3.5,H4.0,H4.5,H5.0,H5.5,H6.0,C:C,C:N,C:OW,C:OCoor,C:O,C:H,N:C,N:N,N:OW,N:OCoor,N:O,N:H,OW:C,OW:N,OW:OW,OW:OCoor,OW:O,OW:H,OCoor:C,OCoor:N,OCoor:OW,OCoor:OCoor,OCoor:O,OCoor:H,O:C,O:N,O:OW,O:OCoor,O:O,O:H,H:C,H:N,H:OW,H:OCoor,H:O,H:H,Cachg
0.000000,0.000000,0.000000,0.000000,0.000000,0.040532,0.186715,0.532496,1.023017,1.838772,3.058544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002680,0.144110,0.512434,1.035150,0.000000,0.000000,0.000000,0.000000,0.045300,0.157544,0.276243,0.382093,0.471351,0.545200,0.606048,0.000000,0.000000,0.000000,0.000000,0.271781,0.942314,1.653310,2.315043,2.954727,3.538490,4.052929,0.000000,0.000000,0.000000,0.000000,0.230623,0.791080,1.383874,1.939540,2.489478,2.998829,3.457539,0.000000,0.000000,0.000000,0.000000,0.000000,0.037713,0.278120,0.750990,1.555457,2.678924,4.171387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019213,0.016826,0.000000,0.000000,0.000000,0.019213,0.089483,0.075610,0.000000,0.000000,0.000000,0.016826,0.075610,0.061737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.0748
0.000000,0.000000,0.000000,0.000000,0.001933,0.067089,0.232727,0.583533,1.085081,1.872214,3.017888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018818,0.161393,0.508836,1.017886,0.000000,0.000000,0.000000,0.000000,0.028224,0.130092,0.246149,0.352728,0.444035,0.520328,0.583612,0.000000,0.000000,0.000000,0.000000,0.225476,0.869921,1.576200,2.255043,2.888846,3.471264,3.987119,0.000000,0.000000,0.000000,0.000000,0.191810,0.730624,1.319817,1.892261,2.437019,2.974057,3.480179,0.000000,0.000000,0.000000,0.000000,0.000000,0.024318,0.236265,0.807519,1.727779,2.977685,4.513829,0.000000,0.000000,0.000063,0.000504,0.000413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000063,0.000000,0.000000,0.009611,0.007806,0.000000,0.000504,0.000000,0.009611,0.060176,0.051047,0.000000,0.000413,0.000000,0.007806,0.051047,0.041919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.7785
0.000000,0.000000,0.000000,0.000000,0.000000,0.018351,0.245095,0.651822,1.221010,2.134774,3.409890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007332,0.072954,0.300554,0.731054,1.289536,0.000000,0.000000,0.000000,0.000000,0.031732,0.136085,0.252830,0.359300,0.450177,0.525938,0.588683,0.000000,0.000000,0.000000,0.000044,0.219689,0.821890,1.511339,2.221487,2.903960,3.516109,4.048911,0.000000,0.000000,0.000000,0.000044,0.165758,0.651725,1.221654,1.826463,2.420682,2.960223,3.457098,0.000000,0.000000,0.000000,0.000000,0.000000,0.029838,0.308242,0.960921,1.994427,3.337578,5.023105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010761,0.007510,0.000000,0.000000,0.000000,0.010761,0.053807,0.039824,0.000000,0.000000,0.000000,0.007510,0.039824,0.025840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.8367
0.000000,0.000000,0.000000,0.000000,0.000000,0.061590,0.297331,0.686856,1.181558,1.937154,3.069699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014745,0.171002,0.537455,1.050761,0.000000,0.000000,0.000000,0.000000,0.014321,0.103250,0.215292,0.321934,0.415013,0.493677,0.559428,0.000000,0.000000,0.000000,0.000000,0.197489,0.890081,1.701197,2.498881,3.216251,3.834535,4.358527,0.000000,0.000000,0.000000,0.000000,0.172672,0.766045,1.461871,2.152898,2.778539,3.320014,3.798262,0.000000,0.000000,0.000000,0.000000,0.000000,0.009617,0.183796,0.697123,1.491411,2.586418,4.042896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004370,0.003770,0.000000,0.000000,0.000000,0.004370,0.046860,0.040631,0.000000,0.000000,0.000000,0.003770,0.040631,0.034402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.0581
0.000000,0.000000,0.000000,0.000000,0.000000,0.031961,0.186803,0.518562,1.038733,1.912603,3.116189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026432,0.138876,0.414230,0.853284,0.000000,0.000000,0.000000,0.000000,0.018392,0.111788,0.225289,0.331994,0.424539,0.502452,0.567407,0.000000,0.000000,0.000000,0.000378,0.226135,0.847967,1.543255,2.215439,2.873108,3.471569,3.997643,0.000000,0.000000,0.000000,0.000378,0.209896,0.740600,1.323120,1.888620,2.453463,2.985292,3.513723,0.000000,0.000000,0.000000,0.000000,0.000000,0.007889,0.181857,0.627296,1.459182,2.628374,4.119112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006907,0.006538,0.000000,0.000000,0.000000,0.006907,0.054340,0.049310,0.000000,0.000000,0.000000,0.006538,0.049310,0.044281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.8646
0.000000,0.000000,0.000000,0.000000,0.000000,0.089141,0.342495,0.753141,1.351725,2.277643,3.494986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009764,0.141218,0.478560,0.980290,0.000000,0.000000,0.000000,0.000000,0.017004,0.108961,0.221999,0.328693,0.421419,0.499580,0.564798,0.000000,0.000000,0.000000,0.000002,0.254715,0.977832,1.788819,2.529519,3.185498,3.767469,4.271482,0.000000,0.000000,0.000000,0.000002,0.204133,0.812488,1.504242,2.139396,2.706734,3.219916,3.699556,0.000000,0.000000,0.000000,0.000000,0.015969,0.106797,0.279541,0.809869,1.666129,2.880298,4.537713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006521,0.005559,0.000095,0.000000,0.000000,0.006521,0.077335,0.062569,0.006126,0.000000,0.000000,0.005559,0.062569,0.047803,0.005102,0.000000,0.000000,0.000095,0.006126,0.005102,0.000000,1.9369
0.000000,0.000000,0.000000,0.000000,0.000000,0.079484,0.336152,0.757757,1.403589,2.376901,3.659861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005956,0.153906,0.502796,1.011918,0.000000,0.000000,0.000000,0.000000,0.022173,0.119143,0.233759,0.340453,0.432515,0.509778,0.574057,0.000000,0.000000,0.000000,0.000145,0.273987,1.018762,1.836911,2.578001,3.227704,3.803634,4.302496,0.000000,0.000000,0.000000,0.000145,0.225530,0.856525,1.555643,2.191062,2.751877,3.275420,3.792517,0.000000,0.000000,0.000000,0.000000,0.000000,0.012371,0.205518,0.748860,1.612214,2.841297,4.462460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008910,0.007762,0.000000,0.000000,0.000000,0.008910,0.089267,0.074387,0.000000,0.000000,0.000000,0.007762,0.074387,0.059508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.9701
0.000000,0.000000,0.000000,0.000000,0.000003,0.050080,0.214562,0.579163,1.176839,2.116425,3.435740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009583,0.178841,0.582673,1.139266,0.000000,0.000000,0.000000,0.000000,0.031172,0.135143,0.251784,0.358273,0.449219,0.525063,0.587893,0.000000,0.000000,0.000000,0.000000,0.269006,0.939227,1.650358,2.293398,2.899567,3.464856,3.970449,0.000000,0.000000,0.000000,0.000000,0.213783,0.767227,1.358737,1.910114,2.481728,3.065433,3.654104,0.000000,0.000000,0.000000,0.000000,0.000000,0.036900,0.313911,0.974575,1.981685,3.272323,4.906849,0.000000,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012721,0.010588,0.000000,0.000001,0.000000,0.012721,0.088606,0.071009,0.000000,0.000001,0.000000,0.010588,0.071009,0.053412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.0287
0.000000,0.000000,0.000000,0.000000,0.000000,0.032000,0.199818,0.562203,1.101135,1.941880,3.138543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001778,0.122263,0.476624,0.985431,0.000000,0.000000,0.000000,0.000000,0.029369,0.132073,0.248365,0.354911,0.446077,0.522194,0.585300,0.000000,0.000000,0.000000,0.000000,0.202632,0.809182,1.504428,2.191646,2.851211,3.451519,3.979352,0.000000,0.000000,0.000000,0.000000,0.175873,0.681663,1.261168,1.841771,2.410062,2.957752,3.488567,0.000000,0.000000,0.000000,0.000000,0.001901,0.067056,0.253039,0.815270,1.773395,3.043779,4.634044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009287,0.007873,0.000019,0.000000,0.000000,0.009287,0.045320,0.038411,0.000563,0.000000,0.000000,0.007873,0.038411,0.031502,0.000467,0.000000,0.000000,0.000019,0.000563,0.000467,0.000000,1.8988
0.000000,0.000000,0.000000,0.000000,0.000000,0.083956,0.322788,0.720014,1.302085,2.197404,3.406479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007056,0.123553,0.423973,0.864334,0.000000,0.000000,0.000000,0.000000,0.028428,0.130447,0.246546,0.353119,0.444401,0.520663,0.583915,0.000000,0.000000,0.000000,0.000000,0.276963,1.014734,1.829638,2.573410,3.244401,3.833301,4.339289,0.000000,0.000000,0.000000,0.000000,0.239920,0.869964,1.567241,2.204754,2.785508,3.307497,3.790734,0.000000,0.000000,0.000000,0.000000,0.000000,0.014403,0.173400,0.642269,1.493140,2.689931,4.241843,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012269,0.010967,0.000000,0.000000,0.000000,0.012269,0.091672,0.078936,0.000000,0.000000,0.000000,0.010967,0.078936,0.066201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.8925
