holoCaM-CaMKII.loop1.water1.frame119	7 2.6602975706511516	1.8895
holoCaM-CaMKII.loop1.water1.frame126	7 2.2553638891448067	1.9381
holoCaM-CaMKII.loop1.water1.frame130	7 2.4950927963443665	1.9389
holoCaM-CaMKII.loop1.water1.frame172	7 2.2247647126154226	1.8802
holoCaM-CaMKII.loop1.water1.frame179	8 2.007923389558698	2.0174
holoCaM-CaMKII.loop1.water1.frame183	8 2.2132860233039238	2.0492
holoCaM-CaMKII.loop1.water1.frame196	7 2.097489150659902	1.9434
holoCaM-CaMKII.loop1.water1.frame198	8 2.3693842479827096	1.9748
holoCaM-CaMKII.loop1.water1.frame228	7 2.1515576753965555	1.9110
holoCaM-CaMKII.loop1.water1.frame230	8 2.450944057307031	1.9823
holoCaM-CaMKII.loop1.water1.frame30	7 2.091687016598267	1.9645
holoCaM-CaMKII.loop1.water1.frame35	8 2.257757867425879	1.9421
holoCaM-CaMKII.loop1.water1.frame36	8 2.1290687156017305	1.9741
holoCaM-CaMKII.loop1.water1.frame455	7 2.018618373975367	1.9807
holoCaM-CaMKII.loop1.water1.frame469	7 1.939437687815765	1.9021
holoCaM-CaMKII.loop1.water1.frame487	7 2.1354424082705052	2.0125
holoCaM-CaMKII.loop1.water1.frame6	7 2.2519276395406695	1.9588
holoCaM-CaMKII.loop1.water1.frame73	7 2.2193836426215676	1.9021
holoCaM-CaMKII.loop1.water2.frame100	7 2.4620895685051845	1.9050
holoCaM-CaMKII.loop1.water2.frame101	7 1.9584929556211257	1.8942
holoCaM-CaMKII.loop1.water2.frame102	7 2.310905720912513	1.8321
holoCaM-CaMKII.loop1.water2.frame103	7 2.5285583169166346	1.9565
holoCaM-CaMKII.loop1.water2.frame104	6 2.3048363425984553	1.8868
holoCaM-CaMKII.loop1.water2.frame106	7 2.174791460809883	1.8455
holoCaM-CaMKII.loop1.water2.frame108	7 2.405165106384923	1.9826
holoCaM-CaMKII.loop1.water2.frame109	7 2.2402066021204243	1.9119
holoCaM-CaMKII.loop1.water2.frame110	7 2.174602205331277	1.8931
holoCaM-CaMKII.loop1.water2.frame111	7 2.1826606555594976	1.9753
holoCaM-CaMKII.loop1.water2.frame112	6 2.4643190686999312	1.8835
holoCaM-CaMKII.loop1.water2.frame113	7 2.44168378372158	1.9250
holoCaM-CaMKII.loop1.water2.frame114	7 2.380935109359788	1.9105
holoCaM-CaMKII.loop1.water2.frame115	7 2.4119997806119087	1.8185
holoCaM-CaMKII.loop1.water2.frame116	7 2.4947208119967907	1.9118
