apoCaM-CA-Ng.loop3.water6.frame1132 20 1.9655
apoCaM-CA-Ng.loop2.water4.frame84 20 1.9019
holoCaM.loop2.water2.frame443 20 1.8723
apoCaM-CA-Ng.loop3.water4.frame210 20 1.8602
apoCaM-CA-Ng.loop1.water3.frame74 20 1.9249
apoCaM-CA-Ng.loop4.water3.frame337 20 1.7463
holoCaM.loop2.water2.frame205 20 1.9174
apoCaM-CA-Ng.loop4.water3.frame478 20 1.7967
apoCaM-CA-Ng.loop4.water5.frame965 20 1.7981
apoCaM-CA-Ng.loop2.water4.frame1464 20 1.9310
apoCaM-CA-Ng.loop3.water4.frame177 20 1.9271
apoCaM-CA-Ng.loop1.water3.frame199 20 1.9081
holoCaM-CaMKII.loop4.water2.frame301 20 1.9030
holoCaM.loop4.water3.frame73 20 1.8753
apoCaM-CA-Ng.loop2.water4.frame1311 20 1.9224
apoCaM-CA-Ng.loop4.water5.frame938 20 1.7637
apoCaM-CA-Ng.loop3.water4.frame576 20 1.8792
holoCaM.loop2.water0.frame10 20 2.0511
apoCaM-CA-Ng.loop3.water5.frame443 20 1.8902
apoCaM-CA-Ng.loop4.water5.frame503 20 1.8691
apoCaM-CA-Ng.loop2.water3.frame287 20 2.0231
apoCaM-CA-Ng.loop1.water4.frame968 20 1.8667
holoCaM-CaMKII.loop2.water0.frame314 20 2.0161
holoCaM-CaMKII.loop2.water2.frame151 20 1.8953
apoCaM-CA-Ng.loop4.water4.frame388 20 1.7279
holoCaM.loop1.water2.frame17 20 1.8946
holoCaM.loop4.water3.frame175 20 1.8866
holoCaM-CaMKII.loop2.water2.frame427 20 1.9536
apoCaM-CA-Ng.loop3.water4.frame161 20 1.9238
apoCaM-CA-Ng.loop4.water4.frame756 20 1.9142
holoCaM-CaMKII.loop2.water2.frame26 20 1.8990
apoCaM-CA-Ng.loop2.water2.frame948 20 1.8598
apoCaM-CA-Ng.loop3.water2.frame643 20 1.9312
holoCaM.loop3.water2.frame105 20 2.0733
holoCaM-CaMKII.loop1.water2.frame317 20 1.9036
apoCaM-CA-Ng.loop1.water5.frame1004 20 1.7582
apoCaM-CA-Ng.loop2.water3.frame263 20 2.0012
holoCaM.loop1.water2.frame126 20 1.9392
apoCaM-CA-Ng.loop2.water3.frame444 20 1.9616
holoCaM.loop1.water2.frame175 20 1.9002
apoCaM-CA-Ng.loop2.water4.frame1429 20 2.0224
holoCaM.loop3.water2.frame360 20 2.0080
apoCaM-CA-Ng.loop1.water2.frame880 20 1.8430
apoCaM-CA-Ng.loop4.water3.frame346 20 1.6560
holoCaM-CaMKII.loop2.water0.frame112 20 1.9784
holoCaM.loop2.water2.frame346 20 2.0095
apoCaM-CA-Ng.loop1.water5.frame5 20 2.0125
apoCaM-CA-Ng.loop1.water2.frame1299 20 1.8008
apoCaM-CA-Ng.loop2.water4.frame769 20 1.9541
holoCaM.loop3.water3.frame242 20 1.8892
holoCaM.loop1.water2.frame10 20 1.7918
apoCaM-CA-Ng.loop1.water3.frame1319 20 1.8472
apoCaM-CA-Ng.loop1.water2.frame1294 20 1.7285
apoCaM-CA-Ng.loop1.water2.frame461 20 1.8287
holoCaM.loop3.water2.frame247 20 1.9898
apoCaM-CA-Ng.loop1.water4.frame48 20 1.9327
apoCaM-CA-Ng.loop4.water2.frame191 20 1.7932
apoCaM-CA-Ng.loop4.water3.frame440 20 1.5427
holoCaM-CaMKII.loop2.water2.frame335 20 1.9615
apoCaM-CA-Ng.loop1.water5.frame577 20 1.9359
holoCaM.loop3.water2.frame64 20 2.1325
apoCaM-CA-Ng.loop1.water2.frame62 20 1.9124
apoCaM-CA-Ng.loop4.water5.frame637 20 1.8621
holoCaM.loop1.water2.frame28 20 1.9559
apoCaM-CA-Ng.loop4.water3.frame53 20 1.7832
apoCaM-CA-Ng.loop4.water4.frame770 20 1.8394
apoCaM-CA-Ng.loop3.water2.frame526 20 1.9689
apoCaM-CA-Ng.loop1.water1.frame876 20 1.8717
holoCaM.loop4.water3.frame393 20 1.7461
apoCaM-CA-Ng.loop3.water3.frame841 20 1.9529
holoCaM.loop1.water2.frame132 20 1.8502
apoCaM-CA-Ng.loop1.water6.frame677 20 1.9108
apoCaM-CA-Ng.loop2.water3.frame719 20 1.7924
apoCaM-CA-Ng.loop2.water3.frame1440 20 2.0160
holoCaM.loop3.water2.frame273 20 1.8574
apoCaM-CA-Ng.loop2.water4.frame395 20 1.9209
holoCaM.loop1.water2.frame352 20 1.9062
apoCaM-CA-Ng.loop2.water3.frame25 20 1.9549
apoCaM-CA-Ng.loop1.water4.frame256 20 1.8585
holoCaM.loop1.water2.frame474 20 1.9167
holoCaM-CaMKII.loop4.water1.frame14 20 1.9865
apoCaM-CA-Ng.loop1.water3.frame1467 20 1.8889
holoCaM.loop3.water2.frame157 20 1.9228
apoCaM-CA-Ng.loop1.water4.frame948 20 1.8644
holoCaM-CaMKII.loop1.water2.frame445 20 1.9124
apoCaM-CA-Ng.loop4.water5.frame1042 20 1.6528
apoCaM-CA-Ng.loop3.water4.frame168 20 1.9071
holoCaM-CaMKII.loop2.water0.frame106 20 1.9515
holoCaM.loop4.water3.frame26 20 1.5746
apoCaM-CA-Ng.loop2.water4.frame1061 20 1.8824
apoCaM-CA-Ng.loop1.water6.frame593 20 1.9668
holoCaM-CaMKII.loop4.water1.frame311 20 1.8981
apoCaM-CA-Ng.loop1.water5.frame163 20 1.7436
holoCaM-CaMKII.loop2.water2.frame348 20 1.9223
holoCaM-CaMKII.loop1.water2.frame79 20 1.8743
apoCaM-CA-Ng.loop1.water5.frame393 20 1.8955
apoCaM-CA-Ng.loop2.water4.frame412 20 1.8489
apoCaM-CA-Ng.loop4.water4.frame960 20 1.8314
apoCaM-CA-Ng.loop2.water5.frame1362 20 1.9215
holoCaM-CaMKII.loop1.water2.frame406 20 2.0322
holoCaM-CaMKII.loop2.water2.frame366 20 1.8473
apoCaM-CA-Ng.loop1.water5.frame730 20 1.9160
apoCaM-CA-Ng.loop1.water1.frame805 20 1.9044
apoCaM-CA-Ng.loop4.water4.frame248 20 1.6828
apoCaM-CA-Ng.loop2.water4.frame1338 20 1.9252
apoCaM-CA-Ng.loop2.water3.frame154 20 1.8884
holoCaM.loop3.water1.frame171 20 2.0240
holoCaM.loop2.water1.frame79 20 1.9439
holoCaM.loop1.water2.frame186 20 1.8550
apoCaM-CA-Ng.loop1.water5.frame672 20 1.8639
apoCaM-CA-Ng.loop4.water5.frame741 20 1.4707
holoCaM.loop1.water2.frame234 20 1.8456
apoCaM-CA-Ng.loop1.water6.frame589 20 1.9576
apoCaM-CA-Ng.loop3.water3.frame622 20 1.9369
holoCaM.loop4.water3.frame117 20 1.8419
holoCaM.loop4.water3.frame275 20 1.8975
holoCaM-CaMKII.loop1.water2.frame171 20 1.8980
apoCaM-CA-Ng.loop2.water4.frame1119 20 1.9121
holoCaM.loop3.water2.frame369 20 1.8153
holoCaM-CaMKII.loop3.water1.frame440 20 1.9960
holoCaM.loop3.water2.frame230 20 1.8886
apoCaM-CA-Ng.loop2.water2.frame823 20 1.9964
apoCaM-CA-Ng.loop4.water4.frame990 20 1.6257
holoCaM.loop2.water1.frame2 20 1.8915
apoCaM-CA-Ng.loop1.water2.frame1144 20 1.8144
apoCaM-CA-Ng.loop3.water6.frame375 20 1.9176
apoCaM-CA-Ng.loop3.water3.frame743 20 2.0251
holoCaM.loop4.water3.frame4 20 1.3810
holoCaM-CaMKII.loop2.water2.frame158 20 1.9049
holoCaM-CaMKII.loop4.water2.frame197 20 1.8665
apoCaM-CA-Ng.loop2.water4.frame656 20 1.8396
apoCaM-CA-Ng.loop2.water3.frame1312 20 1.9027
holoCaM.loop1.water2.frame201 20 1.8839
holoCaM.loop2.water2.frame434 20 1.7992
apoCaM-CA-Ng.loop3.water5.frame12 20 1.9580
apoCaM-CA-Ng.loop1.water3.frame167 20 1.9469
apoCaM-CA-Ng.loop3.water3.frame688 20 1.9038
apoCaM-CA-Ng.loop2.water4.frame214 20 1.8893
holoCaM.loop1.water2.frame180 20 1.8898
apoCaM-CA-Ng.loop2.water4.frame410 20 1.8987
apoCaM-CA-Ng.loop2.water4.frame1227 20 1.9344
holoCaM.loop3.water2.frame297 20 2.0775
holoCaM.loop2.water1.frame248 20 1.8930
apoCaM-CA-Ng.loop3.water2.frame547 20 1.9582
apoCaM-CA-Ng.loop3.water3.frame878 20 1.8879
